node,trees
258955850,12
1132394826,10
2500106742,8
1132394690,1
61353152,2
1132394835,3
61503027,2
3862315705,4
61497657,3
258956015,2
1132394739,3
258956023,4
3990568311,3
3990568308,1
258955843,2
258956013,5
258956014,1
258955844,2
3990569519,6
6540806758,1
6540357040,3
3990569524,2
61497651,3
258955506,7
61341785,1
258955468,7
258955504,5
258955712,5
258955732,3
258955559,2
258956465,2
1132438653,2
5206263332,3
258955502,1
258871817,2
258956115,2
258956114,4
258956092,5
268234745,3
268234747,5
258955761,10
258955760,6
258871815,2
258955499,1
258871814,4
258254556,4
258254500,2
258955726,1
268234862,1
258956075,1
258956072,2
258956026,1
258955768,3
258254638,2
258955767,1
258955762,4
268234749,2
268234751,1
268235145,5
268235150,9
258955841,1
258955854,13
258955859,20
61353351,27
1132438641,14
258955861,2
258955863,5
258956198,2
258956208,3
4408379860,1
258955873,4
366753254,7
1830335463,1
258955867,2
258955872,2
258955870,9
258955871,2
258956118,3
258955417,3
258955467,2
258955411,4
258955414,10
258955419,12
258955422,4
258955416,2
258956124,2
1132394806,7
258955412,2
1132394876,4
1830597797,5
258869625,5
268232830,7
258869624,3
257737598,3
257735137,2
257735138,2
1830597801,5
257733983,5
257736824,13
257736819,11
1830335477,4
257738523,1
257734771,5
395131214,2
257737600,8
1830597781,3
257735716,2
258871147,8
257735830,6
1132394756,1
257735136,2
257735712,2
257736320,9
257736473,4
257736283,1
257736804,13
257736805,10
257736472,3
257736799,3
257736471,5
257736467,8
1132394666,9
1132394679,6
1132394787,1
257736798,4
257736604,4
257736697,5
257736468,2
257736470,4
257736806,4
257736205,2
5599241947,1
5599241951,3
1038884872,7
257736698,10
1132394908,5
257733982,6
257736797,8
258871156,2
257736699,6
1132394822,6
61501066,5
3856892059,3
1132394676,8
1132394642,1
257737667,5
257736469,2
61374343,1
258955943,4
258955942,31
4503189617,4
3990568279,5
1132394757,3
258955954,7
3990568287,6
3990568280,6
5599241958,2
4779725255,7
3990568296,1
61341696,3
1132394736,3
3990568306,2
4779725252,11
6543317451,2
4779725257,5
4779725246,3
6543317447,3
3990568295,2
6543317445,4
2500921857,1
2500921862,3
6543317443,1
2501119764,2
2501119769,1
61341694,4
