,Name,Address,lat,lon
108,RAYMOND V. MELLONE PARK,288 North Harvard Street,42.360377,-71.128736
109,GENEVA CLIFFS URBAN WILD,275 Geneva Avenue,42.30435679069202,-71.07264770975121
110,BRUNSWICK PARK,270P Columbia Road,42.308704,-71.074801
111,ELMHURST PARK,27 Elmhurst Street,42.288802450652845,-71.0763410906654
112,MARCELLA PLAYGROUND,260 Highland Street,42.32455005902666,-71.09765605115643
113,CLARENDON STREET PLAY LOT,260 Clarendon Street,42.353215,-71.07658609090909
114,STONEHILL PARK,25 Stonehill Road,42.25448826229255,-71.14051701966808
115,RIPLEY PLAYGROUND,25 Ripley Road,42.2994875,-71.07619294999999
116,FRANKLIN PARK,25 Pierpont Road,42.2909372,-71.14938264976347
117,PHIPPS STREET BURYING GROUND,25 Phipps Street,42.37672976595744,-71.06732234042553
118,PENNIMAN ROAD PLAY AREA,25 Penniman Road,42.35591896686246,-71.13645152511062
119,AMERICAN LEGION PLAYGROUND,25 Glendon Street,42.3816445,-71.030186
120,SAVIN HILL PARK,25 Caspian Way,42.30975463931449,-71.05047184264518
121,ARNOLD ARBORETUM,25 Bussey Street,42.295755193257925,-71.12391574376477
122,STATLER PARK,243 Stuart Street,42.35026876470588,-71.06914970588235
123,MCGANN PLAYGROUND,240 West Street,42.2639627496094,-71.12679887320651
124,MCLAUGHLIN PLAYGROUND (JOSEPH D. MCLAUGHLIN PLAYGROUND),239 Parker Hill Ave,42.328034375160435,-71.09982324553265
125,SMITH PLAYGROUND (WM. F. SMITH PLAYGROUND),235 Western Ave,42.36320995910482,-71.13246414117158
126,PETERS PARK,230 Shawmut Ave,42.343678,-71.06779700000001
127,BYRNE PLAYGROUND (JOSEPH M. BYRNE PLAYGROUND),23 Everett Street,42.25753072050315,-71.12188519009835
128,GIBBONS PLAYGROUND (JAMES & EILEEN GIBBONS PLAYGROUND),23 Delle Avenue,42.33112006139867,-71.09855791226727
129,"""JEEP"" JONES PARK (CLARENCE ""JEEP"" JONES PARK)",221 Roxbury Street,42.330269957319786,-71.09191092853143
130,NIRA ROCK URBAN WILD,22 Nira Avenue,42.324943636199436,-71.1082927793954
131,ELM HILL PARK,21P Elm Hill Park,42.31292174053522,-71.08304189855151
132,CHARTER STREET PARK,21P Charter Street,42.36646,-71.053325
133,DORCHESTER PARK,2180 Dorchester Avenue,42.276193389887304,-71.06710783941169
134,OLMSTED PARK,217 Jamaicaway,42.32461793266539,-71.11428850634992
135,WEST AND AUSTIN ROCK URBAN WILD,216 West Street,42.26348300053861,-71.12623239262292
136,BUCKLEY PLAYGROUND (REV. FR. BUCKLEY PLAYGROUND),210 West Third Street,42.3385295,-71.04814375
137,QUINCY/STANLEY STREET PLAY AREA,21 Stanley Street,42.31111156904727,-71.0685098001988
138,PHILLIPS STREET PLAY AREA,21 Phillips Street,42.360438,-71.06733700000001
139,WINTHROP PLAYGROUND (JOHN WINTHROP PLAYGROUND),21 Danube Street,42.317906992944884,-71.07538950276484
140,RACHEL REVERE SQUARE,200 North Street,42.363489,-71.05335233333334
141,ORTON FIELD,200 D Street,42.3380578,-71.0527511
142,ENGLISH HIGH SCHOOL BALL FIELDS,20 Williams Street,42.3320791875,-71.082140625
143,REVEREND LOESCH FAMILY PARK,20 Wainwright Street,42.29054481818182,-71.06723595454545
144,FENELON STREET PLAYGROUND,20 Fenelon Street,42.303323669685724,-71.07955707871865
145,MURPHY PLAYGROUND,20 Child Street,42.3073557,-71.1142517
146,CONDOR STREET OVERLOOK,2 Condor Street,42.382516333333335,-71.04002966666667
147,LINCOLN SQUARE,2 Columbus Street,40.9728216,-84.871357
148,NORTH SQUARE,1P North Square,42.3638892,-71.053169
149,FANEUIL SQUARE,1P Faneuil Hall Square,42.3601809,-71.056504
150,BROPHY PARK (MICHAEL J. BROPHY PARK),192 Webster Street,42.365581,-71.03421233333333
151,RAMSAY PARK (DAVID L. RAMSAY PARK),1917 Washington Street,42.3337932,-71.08079650472715
152,SHUBOW PARK (JOSEPH S. SHUBOW PARK),1825 Commonwealth Avenue,42.339149289174145,-71.15258476223447
153,SWEENEY PLAYGROUND (MATTHEW J. SWEENEY PLAYGROUND),180 West Fifth Street,42.33698516909466,-71.05142956573422
154,BRADFORD STREET PLAY AREA,18 Bradford Street,42.342538781897375,-71.06921232896701
155,CLIFFORD PLAYGROUND (EDWARD P. CLIFFORD PLAYGROUND),160 Norfolk Avenue,42.325255369217764,-71.06924476329718
156,HEALY PLAYGROUND (JAMES F. HEALY PLAYGROUND),160 Florence Street,42.28839765,-71.12215784022194
157,HAYES PARK (JAMES HAYES PARK),158 Warren Avenue,42.247897557692305,-71.11221013461538
158,DOHERTY PLAYGROUND (JOHN A. DOHERTY PLAYGROUND),1545 Dorchester Ave,42.29765283333333,-71.06102641666666
159,BLACKSTONE SQUARE,1535 Washington Street,42.354348,-71.061732
160,FRANKLIN SQUARE,1530 Washington Street,42.354348,-71.061732
161,ANGELL MEMORIAL SQUARE,152 Congress Street,42.356034449999996,-71.05529668186165
162,FIDELIS WAY PARK,1511 Commonwealth Avenue,42.34654025517876,-71.141505447214
163,RESERVATION ROAD PARK,151 Reservation Road,42.251514148968866,-71.1302649777367
164,IACONO PLAYGROUND (GIOVANNI DELLO IACONO PLAYGROUND),150 Readville Street,42.23946561169694,-71.13586147641946
165,COOK STREET PLAY AREA,15 Hill Street,42.38104114285714,-71.06437142857143
166,FOSTER STREET PARK,15 Foster Street,42.350203069429654,-71.1571024484504
167,THETFORD EVANS PLAYGROUND,15 Evans Street,42.283012,-71.07742
168,CEDAR SQUARE,15 Cedar Street,42.3764839,-71.06206079948112
169,AMATUCCI PLAYGROUND (PRIV. JOSEPH AMATUCCI PLAYGROUND),1460 Hyde Park Avenue,42.24837731068397,-71.12693144472003
170,ROSS PLAYGROUND (WESLEY G. ROSS PLAYGROUND),145 Westminster Street,42.265181999999996,-71.113824125
171,EAST BOSTON GREENWAY,144 Marginal Street,42.36540694795132,-71.03590924631155
172,EAST BOSTON MEMORIAL PARK,143 Porter Street,42.368717418640735,-71.03006763081838
173,PORZIO PARK (JOE PORZIO PARK),14 Jeffries Street,42.365272142857144,-71.02912085714286
174,BOSTON COMMON,139 Tremont St,42.3554005,-71.0637636
175,DENNIS STREET PARK,138 Moreland Street,42.32232776240953,-71.07509064494701
176,DEFILIPPO PLAYGROUND (PVT. JOHN DEFILIPPO PLAYGROUND),135 Prince Street,42.314999720967315,-71.12338693324476
177,PAGODA PARK,135 Kneeland Street,42.34967056097561,-71.0580398292683
178,RAMLER PARK,130 Peterborough Street,42.34288377521461,-71.10006192268784
179,FLAHERTY PARK (JOHN J. FLAHERTY JR. PARK),130 B Street,42.34136805,-71.05338515
180,BEAUFORD PLAY AREA (WILLIS BEAUFORD PFC PLAY AREA),127 Howard Ave,42.31550605566307,-71.07553805643602
181,UNION PARK STREET PLAY AREA,125 Union Park Street,42.33999987755102,-71.06652320408163
182,ERIE/ELLINGTON PLAYGROUND,125 Erie Street,42.30164457142857,-71.08253371428572
183,WEST ROXBURY HIGH SCHOOL ATHLETIC FIELDS,1205 VFW Parkway,42.2822803,-71.1748744
184,HOOKER STREET PLAYGROUND,120 Hooker Street,42.35918032019396,-71.12653766133859
185,ST. HELENA'S PARK,115 Union Park Street,42.340057428571434,-71.06670228571429
186,PARIS STREET PLAYGROUND,115 Paris Street,42.37235135294117,-71.0375475882353
187,BAY VILLAGE NEIGHBORHOOD PARK,113 Charles Street South,42.349540600000005,-71.0666674
188,THOMPSON SQUARE,111 Warren Street,42.326321263721965,-71.08352326147448
189,TAI TUNG PARK,110 Tyler Street,42.34848774509804,-71.0615
190,CHRISTOPHER COLUMBUS PARK,110 Atlantic Ave,42.361527,-71.052017
191,CEYLON PARK,105 Ceylon Street,42.310616,-71.072786
192,WALSH PLAYGROUND (WM. GARY WALSH PLAYGROUND),1005 Washington Street,42.34562270479909,-71.06504516298585
193,MOAKLEY PARK (JOSEPH MOAKLEY PARK),1005 Columbia Road,42.32966322606891,-71.05185255468245
194,MOTHERBROOK III URBAN WILD,100 Reservation Road,42.250678,-71.129834
195,BACK BAY FENS,100 Park Drive,42.3427452,-71.1032566
196,CUTILLO PARK (VINCENT CUTILLO PARK),10 Stillman Street,42.3638375,-71.0572425
197,RINGGOLD PARK,10 Ringgold Street,42.34292725,-71.07008966666668
198,MOZART STREET PLAYGROUND,10 Mozart Street,42.32195957142857,-71.10467342857143
199,JEFFERSON PLAYGROUND,10 Grotto Glen Road,42.325552561240684,-71.10783312972497
200,EDWARDS PLAYGROUND,10 Eden Street,42.39678275,-71.03389565925795
201,GOLDEN STAIRS TERRACE PARK,10 Brigham Street,42.365076808510636,-71.03455365957447
202,ALLEN PARK (REV. JAMES K. ALLEN PARK),1 Church St,42.288498849999996,-71.14507443350314
203,EGLESTON PLAZA,1 Atherton Street,42.315791,-71.098473
